id,created_at,updated_at,deleted_at,timestamp,user_id,answer,page_nr,delay_time,time_to_answer
1,"2019-11-14 12:31:14","2019-11-14 12:31:14",NULL,"2019-11-14 12:31:14",1,3,1,8691,1889
2,"2019-11-14 12:31:25","2019-11-14 12:31:25",NULL,"2019-11-14 12:31:25",1,3,1,7193,4081
3,"2019-11-14 12:31:52","2019-11-14 12:31:52",NULL,"2019-11-14 12:31:52",1,1,3,7821,5571
4,"2019-11-14 12:32:00","2019-11-14 12:32:00",NULL,"2019-11-14 12:32:00",1,3,3,6483,1562
5,"2019-11-14 12:36:02","2019-11-14 12:36:02",NULL,"2019-11-14 12:36:02",1,6,7,10524,6442
6,"2019-11-14 12:36:14","2019-11-14 12:36:14",NULL,"2019-11-14 12:36:14",1,1,7,5016,6762
7,"2019-11-14 12:58:04","2019-11-14 12:58:04",NULL,"2019-11-14 12:58:03",2,2,3,7860,-6493
8,"2019-11-14 13:00:10","2019-11-14 13:00:10",NULL,"2019-11-14 13:00:10",2,4,3,11486,115252
9,"2019-11-14 13:00:40","2019-11-14 13:00:40",NULL,"2019-11-14 13:00:40",2,3,4,7893,12390
10,"2019-11-14 13:00:48","2019-11-14 13:00:48",NULL,"2019-11-14 13:00:48",2,6,5,4712,3426
11,"2019-11-14 13:11:31","2019-11-14 13:11:31",NULL,"2019-11-14 13:11:31",3,3,2,5820,14758
12,"2019-11-14 13:11:40","2019-11-14 13:11:40",NULL,"2019-11-14 13:11:40",3,3,5,10367,-2970
13,"2019-11-14 13:11:49","2019-11-14 13:11:49",NULL,"2019-11-14 13:11:48",3,3,7,7017,-6761
14,"2019-11-14 13:11:57","2019-11-14 13:11:57",NULL,"2019-11-14 13:11:57",,2,0,11544,-3126
15,"2019-11-14 13:12:01","2019-11-14 13:12:01",NULL,"2019-11-14 13:12:01",,5,0,11544,840
16,"2019-11-15 16:08:38","2019-11-15 16:08:38",NULL,"2019-11-15 16:08:38",4,1,1,29564,3284
17,"2019-11-15 16:09:04","2019-11-15 16:09:04",NULL,"2019-11-15 16:09:04",4,1,1,22482,3961
18,"2019-11-15 16:11:07","2019-11-15 16:11:07",NULL,"2019-11-15 16:11:08",4,2,3,16665,5826
19,"2019-11-15 16:11:39","2019-11-15 16:11:39",NULL,"2019-11-15 16:11:39",4,1,3,28623,2648
20,"2019-11-15 16:15:11","2019-11-15 16:15:11",NULL,"2019-11-15 16:15:12",4,6,7,12916,6009
21,"2019-11-15 16:15:35","2019-11-15 16:15:35",NULL,"2019-11-15 16:15:35",4,4,7,20818,2503
22,"2019-11-18 12:27:56","2019-11-18 12:27:56",NULL,"2019-11-18 12:27:56",5,3,1,16533,97981
23,"2019-11-18 12:29:18","2019-11-18 12:29:18",NULL,"2019-11-18 12:29:18",5,3,1,26907,54463
24,"2019-11-18 13:59:45","2019-11-18 13:59:45",NULL,"2019-11-18 13:59:44",5,2,3,18514,6160
25,"2019-11-18 14:06:08","2019-11-18 14:06:08",NULL,"2019-11-18 14:06:07",5,4,3,24629,358300
